protocol,n,speed,alpha,pkt_sent,pkt_recv,pdr,delay_mean_ms,lifetime_mean_ms,lifetime_std_ms,lifetime_min_ms,lifetime_max_ms,lifetime_count,hop_count_avg,network_secure_ratio,secure_ratio_src,cs_mean,cs_std,cs_min,cs_max,cs_count,mcs_mean,mcs_std,mcs_min,mcs_max,mcs_count,link_broken_total,retry_limit_total,hop_limit_drops,no_route_drops
UFRPLS,40,slow,0.5,1000.0,69.2,0.0692,4.701153658293004,,,,,,4.4841999999999995,1.0,1.0,2.95477199539602,0.736438905168834,0.12969293808208313,5.49832566827296,4484.2,2.53287099995394,0.551826770304766,0.832035142220442,3.47764437660602,69.2,15.8,15.8,813.8,166.6
UFRPLS,40,slow,0.7,1000.0,34.4,0.0344,0.8742985792083899,,,,,,7.723400000000001,1.0,1.0,5.5964652634867,1.3993922442639999,0.08757713337512084,8.86776210685036,7723.4,4.94571500823792,1.3225532282805599,1.5796192903963138,6.8906244647034,34.4,0.0,0.0,888.4,133.0
UFRPLS,40,slow,0.9,1000.0,34.4,0.0344,0.673810499819142,,,,,,8.1202,1.0,1.0,6.7865968641498196,2.16130205278906,0.14316071027419558,13.3173808841757,8120.2,5.010258408891461,1.6009366234318,1.121044976295996,7.500848758576299,34.4,0.0,0.0,888.2,132.0
UFRPLS,60,fast,0.3,1000.0,101.8,0.1018,11.841668932132718,,,,,,2.7418,1.0,1.0,2.03179884890368,0.8734832388828899,0.1450150792145974,5.61993484724858,2741.8,1.34060722780228,0.6342202872862079,0.15875147089527442,3.11727553004734,101.8,86.0,86.0,510.8,467.0
UFRPLS,60,fast,0.5,1000.0,136.8,0.13679999999999998,4.30779064604989,,,,,,3.3094,1.0,1.0,2.98404896774118,0.742116873016612,0.1082385161006646,6.966842820185519,3309.4,2.55857132646328,0.619684855714602,0.6358905321505688,4.47023850167598,136.8,59.6,59.6,634.2,234.6
UFRPLS,60,fast,0.7,1000.0,146.4,0.1464,1.2746556906631619,,,,,,5.2170000000000005,1.0,1.0,5.8833495595629,1.4338786991324581,0.2623718027133166,9.9826460295145,5217.0,5.31250994781732,1.435983885116294,0.345876933371135,7.68690348094416,146.4,0.0,0.0,731.6,179.8
UFRPLS,60,slow,0.1,1000.0,40.2,0.0402,3.7736989338393316,,,,,,3.1182000000000003,1.0,1.0,1.82766191071583,0.872741484689746,0.03673343497101484,4.85951131807966,3118.2,0.705428687605876,0.5661704695954001,0.0936521320621036,1.8801804045838337,40.2,35.6,35.6,523.0,686.4
UFRPLS,60,slow,0.3,1000.0,51.2,0.0512,1.58394372322964,,,,,,3.2055999999999996,1.0,1.0,2.10563991897962,0.799445245955108,0.09100602423394318,4.98248096952964,3205.6,1.273354241523968,0.45616001825392993,0.535731387582479,2.21853350057656,51.2,24.0,24.0,584.8,565.4
UFRPLS,60,slow,0.5,1000.0,53.0,0.053000000000000005,25.631120112842645,,,,,,3.3724000000000003,1.0,1.0,2.80661638333372,0.713957872448052,0.105018420993617,5.622792481872439,3372.4,2.21290110499058,0.563818122490976,0.45534335077517196,3.2853666267115402,53.0,20.0,20.0,739.8,272.0
UFRPLS,60,slow,0.7,1000.0,25.6,0.0256,0.729977576150142,,,,,,6.244999999999999,1.0,1.0,5.39170796992866,1.20435284397194,0.22445936355924068,9.79030589874146,6245.0,4.53332283726028,0.83302391460026,2.9231792026649637,6.01224142347148,25.6,0.0,0.0,823.8,207.8
