file,config,protocol,n,speed,alpha,position,rep,pkt_sent,pkt_recv,pdr,delay_mean_ms,lifetime_mean_ms,lifetime_std_ms,lifetime_min_ms,lifetime_max_ms,lifetime_count,hop_count_avg,network_secure_ratio,secure_ratio_src,cs_mean,cs_std,cs_min,cs_max,cs_count,mcs_mean,mcs_std,mcs_min,mcs_max,mcs_count,link_broken_total,retry_limit_total,hop_limit_drops,no_route_drops
UFRPLS-100veh-a03-e300-rep3-#0.sca,UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,default,3,1000.0,21.0,0.021,1.8188002234286,,,,,,1.468,1.0,1.0,1.2277364110852,0.20397248256584,0.40533890922648,2.9977044753526,1468.0,1.0385836641185,0.29150300319246,0.14302606097757,1.2877627652176,21.0,1,1,527,888
UFRPLS-100veh-a03-e500-rep1-#0.sca,UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,default,1,1000.0,24.0,0.024,44.883854138124995,,,,,,2.469,1.0,1.0,1.7295395254971,0.45172517750704,0.45720996097935,4.4997817924589,2469.0,1.3526365732239,0.3426184990782,0.96327042815768,2.2881976539936,24.0,44,44,697,447
UFRPLS-100veh-a03-e700-rep4-#0.sca,UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,default,4,1000.0,18.0,0.018,99.298560061833,,,,,,2.657,1.0,1.0,2.3615098104939,0.84129684956391,0.15568639402603,3.7490584168411,2657.0,1.3815163480505,0.45937081941747,0.73847041946438,2.698212249976,18.0,36,36,681,481
UFRPLS-100veh-a03-e900-rep5-#0.sca,UFRPLS-100veh-a03,UFRPLS,100,slow,0.3,default,5,1000.0,20.0,0.02,3.8786140752000002,,,,,,3.566,1.0,1.0,2.7653798203914,1.1846728036447,0.089148455777455,5.086382525112,3566.0,1.5052867142055,0.42539950706708,1.0590240201046,2.2680740428476,20.0,28,28,820,157
UFRPLS-100veh-a03-fast-e100-rep2-#0.sca,UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,default,2,1000.0,19.0,0.019,1.2154493890526,,,,,,2.583,1.0,1.0,1.2667667809148,0.66153595772088,0.0083624334893315,5.6377459366106,2583.0,1.1357627884221,0.30328730840943,0.54030228644517,1.7507462534327,19.0,1,1,456,828
UFRPLS-100veh-a03-fast-e300-rep3-#0.sca,UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,default,3,1000.0,17.0,0.017,1.3832504569412,,,,,,1.877,1.0,1.0,1.8750499894556,0.56779685511104,0.01237114640174,3.9822824061438,1877.0,1.6112444964638,0.54816688111863,1.0196602596389,2.6327563602905,17.0,98,98,569,516
UFRPLS-100veh-a03-fast-e500-rep1-#0.sca,UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,default,1,1000.0,80.0,0.08,1.4993726302750001,,,,,,2.1,1.0,1.0,2.5219639088269,0.83848105215755,0.57813558893443,6.1165336718459,2100.0,1.8777532221849,0.85102186583092,0.03464303470038,3.4164420852481,80.0,95,95,539,428
UFRPLS-100veh-a03-fast-e700-rep4-#0.sca,UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,default,4,1000.0,71.0,0.071,10.556486838408,,,,,,2.287,1.0,1.0,2.6668322811099,0.94717286882009,0.41278039175307,4.5424291732184,2287.0,1.0915483944822,0.24749537556233,0.072156662339225,1.993226732178,71.0,145,145,574,197
UFRPLS-100veh-a03-fast-e900-rep5-#0.sca,UFRPLS-100veh-a03-fast,UFRPLS,100,fast,0.3,default,5,1000.0,14.0,0.014,3.3257828325000003,,,,,,2.531,1.0,1.0,2.928999836437,1.209177123517,0.047885746770412,5.8006212409412,2531.0,1.6742331068595,0.81861659842455,1.0208335266756,3.2945450167965,14.0,113,113,634,264
UFRPLS-100veh-a05-e100-rep2-#0.sca,UFRPLS-100veh-a05,UFRPLS,100,slow,0.5,default,2,1000.0,14.0,0.014,0.7599178197857099,,,,,,5.518,1.0,1.0,2.3562870084434,1.2347523875023,0.012329268235355,7.4110342382198,5518.0,1.764146603619,0.85821779669545,0.057296457109594,2.9632416243797,14.0,0,0,598,588
