config,protocol,n,speed,alpha,position,avg_min_cs,min_cs_stddev,min_cs_min,min_cs_max,min_cs_count,avg_cs,cs_stddev,cs_min,cs_max,cs_count,delay_mean_s,total_hops,secure_ratio,eav_count,pkt_sent,pkt_recv,pdr
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e500,6.549947749114,0.23482966265827,6.094805390654,7.0636765587698,21.0,6.629747850632,0.71813575709621,0.62687920556061,9.3897644255396,4846.0,0.0015067096897619,4846,1.0,1,1000.0,21.0,0.021
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e700,6.4224930702327,0.52837166693055,4.9169667956653,7.4022840572241,31.0,6.5965282166968,0.71559107125526,0.26587727108723,8.3417372659083,4047.0,0.0017658977090323,4047,1.0,1,1000.0,31.0,0.031
UFRPLS-100veh-a07,UFRPLS,100,slow,0.7,e900,6.3341255201024,0.46832052558369,4.9831426342876,6.9298598002633,24.0,6.4397750076278,0.99438618319586,0.26136156098307,8.963735493964,3889.0,0.0011949769382083,3889,1.0,1,1000.0,24.0,0.024
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e100,1.3611305910792,1.1172708124939,0.26241804444049,3.3372299259422,7.0,3.3127307682426,1.7511563296028,0.0091782881777434,8.5319858484887,4016.0,0.0012034235545714,4016,1.0,1,1000.0,7.0,0.007
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e300,6.5917505930613,0.33393349097055,6.0441765468227,7.3610333440119,20.0,6.5023495563241,0.86946722482676,0.61100213609224,8.5448261684272,3836.0,0.0014227979306,3836,1.0,1,1000.0,20.0,0.02
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e500,6.2845851517455,1.2347773729423,0.071890755981016,7.1040553854069,69.0,6.5765479228101,0.81527711512114,0.16352133745908,9.6183633402182,3197.0,0.0020333808841739,3197,1.0,1,1000.0,69.0,0.069
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e700,3.3673596255894,2.3182334626949,0.016182460863895,6.6471468680415,11.0,6.4272332342714,1.0552541317608,0.7380149813189,9.1570541801811,3292.0,0.002136733905,3292,1.0,1,1000.0,11.0,0.011
UFRPLS-100veh-a07-fast,UFRPLS,100,fast,0.7,e900,6.6296207375663,0.24092503147,6.0348024122404,7.3216976727951,29.0,6.5281686789664,0.78710513868206,0.49519885425966,9.8015993867423,3009.0,0.0011922205461379,3009,1.0,1,1000.0,29.0,0.029
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e100,1.882737415577,1.218678453895,0.20364042513886,4.203900055884,12.0,2.8787530962714,1.614393197385,0.0036834427999253,7.6621793307694,6933.0,0.0011215322285833,6933,1.0,1,1000.0,12.0,0.012
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e300,5.8130866061999,1.0574092784366,2.8380902086585,7.3331011827096,28.0,7.797494622004,2.0911177200012,0.11116328054545,12.81146376363,6716.0,0.0011570467871786,6716,1.0,1,1000.0,28.0,0.028
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e500,8.0862438649717,0.88684073824872,5.7155980531139,9.357180284914,26.0,9.1372598514333,1.8363824293289,0.26216108211816,14.152226317163,5292.0,0.0016040289812308,5292,1.0,1,1000.0,26.0,0.026
UFRPLS-100veh-a09,UFRPLS,100,slow,0.9,e700,7.2458901392034,0.83834241861017,6.2153918728302,8.4293993352933,10.0,10.287883853441,2.4489794240442,0.36843972028716,16.405408665431,4495.0,0.0014391814166,4495,1.0,1,1000.0,10.0,0.01
